"","seqnames","start","end","width","strand","Conc","Conc_F","Conc_M","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","Symbol.ENTREZID","Symbol.SYMBOL"
"30477","chr16", 78373127, 78373527,401,"*", 5.646108, 6.227113, 4.657916, 1.1853242,1.150033e-07,0.005419227,"Promoter (<=1kb)",16, 78337226, 78373522, 36297,2,"67102","ENSMUST00000231973.2",      0,67102,D16Ertd472e
"73825","chr9", 35216529, 35216929,401,"*",13.364796,13.041778,13.628556,-0.5936191,2.247425e-07,0.005419227,"Promoter (1-2kb)", 9, 35213018, 35218895,  5878,2,"102636888","ENSMUST00000214038.2",   1966,102636888,Gm33838
"72820","chr8",127148941,127149341,401,"*", 6.055276, 6.609424, 5.143958, 1.1107112,2.279563e-07,0.005419227,"Promoter (<=1kb)", 8,127149254,127152172,  2919,1,"67892","ENSMUST00000059093.7",      0,67892,Coa6
"19607","chr13", 35924736, 35925136,401,"*", 5.580907, 6.167860, 4.574921, 1.1323867,3.088957e-07,0.005419227,"Promoter (<=1kb)",13, 35925296, 36058041,132746,1,"12593","ENSMUST00000163595.3",   -160,12593,Cdyl
"73043","chr9",  3000341,  3000741,401,"*",13.639622,13.308766,13.908577,-0.6043588,3.452089e-07,0.005419227,"Distal Intergenic", 9,  3038669,  3038743,    75,2,"100628572","ENSMUST00000195989.2",  38002,100628572,Mir101c
"15653","chr12",  3159791,  3160191,401,"*",15.545694,15.190981,15.830178,-0.6226351,4.506844e-07,0.005895853,"Distal Intergenic",12,  3285442,  3291410,  5969,1,"74173","ENSMUST00000178074.9",-125251,74173,Rab10os
"7710","chr10", 86131917, 86132317,401,"*", 5.372099, 5.969854, 4.333029, 1.1261251,7.742253e-07,0.008629301,"Intron (ENSMUST00000120638.8/27204, intron 6 of 13)",10, 86136236, 86185370, 49135,1,"21859","ENSMUST00000020234.14",  -3919,21859,Timp3
"47472","chr3", 68481017, 68481417,401,"*", 4.471810, 5.169973, 3.066601, 1.2199247,8.795088e-07,0.008629301,"Promoter (1-2kb)", 3, 68479578, 68533797, 54220,1,"30953","ENSMUST00000170788.9",   1439,30953,Schip1
"9421","chr11", 12241253, 12241653,401,"*", 4.925299, 5.581789, 3.686610, 1.1793868,1.097718e-06,0.008768265,"Intron (ENSMUST00000172919.8/12808, intron 7 of 7)",11, 12264490, 12287140, 22651,1,"100503630","ENSMUST00000153794.10", -22837,100503630,Gm12002
"36022","chr18", 38627810, 38628210,401,"*", 5.891842, 6.437643, 5.003327, 1.1210132,1.204681e-06,0.008768265,"Distal Intergenic",18, 38584363, 38597436, 13074,1,"65113","ENSMUST00000238135.2",  43447,65113,Ndfip1
